name,number,chance
Kara,1566,0.038954255
Gail,1563,0.03887963
Rowan,1562,0.038854755
Jillian,1535,0.03818313
Dominic,1534,0.038158255
Summer,1513,0.03763588
Carla,1501,0.03733738
Elliot,1484,0.036914505
Adele,1477,0.03674038
Corey,1473,0.03664088
Ann,1453,0.03614338
Calvin,1442,0.035869754
Bradley,1441,0.035844879
Ruaridh,1436,0.035720504
Demi,1411,0.035098629
Jude,1411,0.035098629
Lara,1408,0.035024004
Joe,1395,0.034700629
Kelsey,1393,0.034650879
Kian,1391,0.034601129
Lyndsey,1388,0.034526504
Isaac,1381,0.034352379
Robin,1376,0.034228004
Lyndsay,1361,0.033854879
Maya,1336,0.033233004
Fergus,1303,0.032412129
Francis,1299,0.032312629
Katy,1295,0.032213129
Jasmine,1290,0.032088754
Hugh,1282,0.031889754
Lindsey,1278,0.031790254
Nikki,1265,0.031466879
Mohammad,1264,0.031442004
Henry,1256,0.031243004
Gayle,1252,0.031143504
Toni,1244,0.030944504
Madison,1238,0.030795254
Patricia,1233,0.030670879
Struan,1230,0.030596254
Zak,1227,0.030521629
Rose,1223,0.030422129
Ellen,1219,0.030322629
Gerard,1218,0.030297754
Blake,1215,0.030223129
Sofia,1215,0.030223129
Imogen,1211,0.030123629
Lexi,1211,0.030123629
Nadia,1207,0.030024129
Rhona,1207,0.030024129
Cody,1206,0.029999254
Aria,1193,0.029675879
Martyn,1184,0.029452004
Luca,1183,0.029427129
Elise,1182,0.029402254
Mya,1175,0.029228129
Sandra,1167,0.029029129
Caitlyn,1166,0.029004254
Ronald,1165,0.028979379
Ollie,1163,0.028929629
Casey,1160,0.028855004
Innes,1159,0.028830129
Theo,1159,0.028830129
Ruairidh,1148,0.028556504
Ciara,1147,0.028531629
Lacey,1142,0.028407254
Rebekah,1140,0.028357504
Bailey,1137,0.028282879
Vicky,1122,0.027909753
Harvey,1111,0.027636128
Phoebe,1111,0.027636128
Morven,1108,0.027561503
Lilly,1100,0.027362503
Jackson,1098,0.027312753
Kimberly,1087,0.027039128
Kayden,1076,0.026765503
Lachlan,1069,0.026591378
Campbell,1063,0.026442128
Keir,1063,0.026442128
Brendan,1062,0.026417253
Arlene,1050,0.026118753
Frances,1042,0.025919753
Kerr,1026,0.025521753
Chantelle,1023,0.025447128
Louisa,1018,0.025322753
Mandy,1016,0.025273003
Lois,1013,0.025198378
Neve,1013,0.025198378
Daryl,1012,0.025173503
Aileen,1008,0.025074003
Tom,1001,0.024899878
Harley,998,0.024825253
Alicia,996,0.024775503
Kris,993,0.024700878
Michaela,991,0.024651128
Sienna,988,0.024576503
Kirstin,984,0.024477003
Kenzie,981,0.024402378
Drew,978,0.024327753
Cooper,976,0.024278003
Vicki,975,0.024253128
Kerri,968,0.024079003
Danny,964,0.023979503
Billy,963,0.023954628
Stacy,961,0.023904878
Hayden,960,0.023880003
Mitchell,960,0.023880003
Shelley,959,0.023855128
Reuben,953,0.023705878
Nina,951,0.023656128
Kiera,948,0.023581503
